        nu  unc1  unc2 nu1' nu2' nu3' nu4' L3' L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"          E'        Calc'  Obs-Calc'          Source Method  BandMatch
7690.99760  0.01  0.01    1    1    1    0   1   0   2   1  s   A2"   -2     0     0     0     0    0    0   1   0  s   A2'    1 7710.887486  7710.797425   0.090061  16BaYuTeBe.404     CD       True
7819.44874  0.01  0.01    0    1    2    0   2   0   2   2  a   A2"   -3     0     0     0     0    0    0   3   3  a   A2'    1 7906.106543  7906.083565   0.022978  16BaYuTeBe.659     Br       True
7790.11604  0.01  0.01    0    1    2    0   2   0   2   1  s   A2"   -4     0     0     0     0    0    0   3   0  s   A2'    2 7909.353899  7909.279918   0.073981  16BaYuTeBe.604     CD       True
7889.46418  0.01  0.01    0    1    2    0   2   0   2   1  s   A2"   -4     0     0     0     0    0    0   1   0  s   A2'    1 7909.354066  7909.279918   0.074148  16BaYuTeBe.764     CD       True
8042.50093  0.01  0.01    2    0    0    1   0   1   2   2  a   A2"   -5     0     0     0     0    0    0   3   3  a   A2'    1 8129.158733  8130.977118  -1.818385  16BaYuTeBe.920     Br       True
8285.96384  0.01  0.01    1    0    0    3   0   1   2   1  s   A2"   -6     0     0     0     0    0    0   1   0  s   A2'    1 8305.853726  8306.360044  -0.506318 16BaYuTeBe.1541     CD      False
8186.62080  0.01  0.01    1    0    0    3   0   1   2   1  s   A2"   -6     0     0     0     0    0    0   3   0  s   A2'    2 8305.858659  8306.360044  -0.501385 16BaYuTeBe.1214     CD      False
8226.59926  0.01  0.01    1    0    0    3   0   1   2   2  a   A2"   -7     0     0     0     0    0    0   3   3  a   A2'    1 8313.257063  8314.924756  -1.667693 16BaYuTeBe.1337     Br      False
8313.25564  0.01  0.01    1    0    1    1   1   1   2   1  s   A2"   -8     0     0     0     0    0    0   1   0  s   A2'    1 8333.145526  8335.584158  -2.438632 16BaYuTeBe.1652     Br       True
8386.19527  0.01  0.01    0    0    2    1   2   1   2   0  a   A2"   -9     0     0     0     0    0    0   3   0  s   A2'    2 8505.433129  8505.556225  -0.123096 16BaYuTeBe.1919     CD       True
8485.54341  0.01  0.01    0    0    2    1   2   1   2   0  a   A2"   -9     0     0     0     0    0    0   1   0  s   A2'    1 8505.433296  8505.556225  -0.122929 16BaYuTeBe.2090     CD       True
8394.73524  0.01  0.01    0    0    2    1   2   1   2   1  s   A2"  -10     0     0     0     0    0    0   3   0  s   A2'    2 8513.973099  8513.318510   0.654589 16BaYuTeBe.1945     Br      False
7810.64347  0.01  0.01    0    1    2    0   2   0   2   2  s   A2'   -1     0     0     0     0    0    0   3   3  s   A2"    1 7896.505051  7896.391798   0.113253  16BaYuTeBe.648     Br       True
7857.99670  0.01  0.01    0    1    2    0   2   0   2   1  a   A2'   -2     0     0     0     0    0    0   2   0  a   A2"    1 7918.409718  7918.449889  -0.040171  16BaYuTeBe.721     Br       True
8138.51858  0.01  0.01    1    0    1    1   1   1   2   2  s   A2'   -3     0     0     0     0    0    0   3   3  s   A2"    1 8224.380161  8223.630101   0.750060 16BaYuTeBe.1086     Br       True
8171.25986  0.01  0.01    1    0    1    1   1   1   2   1  a   A2'   -4     0     0     0     0    0    0   2   0  a   A2"    1 8231.672878  8230.791067   0.881811 16BaYuTeBe.1173     Br       True
8210.96781  0.01  0.01    1    0    0    3   0   1   2   1  a   A2'   -5     0     0     0     0    0    0   2   0  a   A2"    1 8271.380828  8275.343866  -3.963038 16BaYuTeBe.1291     Br      False
8222.12447  0.01  0.01    1    0    0    3   0   1   2   2  s   A2'   -6     0     0     0     0    0    0   3   3  s   A2"    1 8307.986051  8307.733873   0.252178 16BaYuTeBe.1327     CD      False
8247.57808  0.01  0.01    1    0    0    3   0   1   2   2  s   A2'   -6     0     0     0     0    0    0   2   0  a   A2"    1 8307.991098  8307.733873   0.257225 16BaYuTeBe.1396     CD      False
8250.54847  0.01  0.01    1    2    0    2   0   2   2   2  s   A2'   -7     0     0     0     0    0    0   2   0  a   A2"    1 8310.961488  8310.995792  -0.034304 16BaYuTeBe.1408     Br      False
7584.59099  0.01  0.01    1    1    0    2   0   2   2   1  s    E"   -1     0     0     0     0    0    0   2   2  s    E'    1 7629.386968  7630.431858  -1.044890  16BaYuTeBe.202     Br      False
7679.19205  0.01  0.01    1    1    0    2   0   2   2   2  a    E"   -2     0     0     0     0    0    0   1   1  a    E'    1 7696.155406  7695.570361   0.585045  16BaYuTeBe.380   CD_b      False
7639.46529  0.01  0.01    1    1    0    2   0   2   2   2  a    E"   -2     0     0     0     0    0    0   2   1  a    E'    2 7696.174517  7695.570361   0.604156  16BaYuTeBe.319   CD_b      False
7607.22601  0.01  0.01    1    1    1    0   1   0   2   1  s    E"   -3     0     0     0     0    0    0   3   2  s    E'    1 7711.648098  7711.569196   0.078902  16BaYuTeBe.254     CD       True
7666.85309  0.01  0.01    1    1    1    0   1   0   2   1  s    E"   -3     0     0     0     0    0    0   2   2  s    E'    1 7711.649068  7711.569196   0.079872  16BaYuTeBe.358     CD       True
7601.51713  0.01  0.01    1    1    1    0   1   0   2   2  a    E"   -4     0     0     0     0    0    0   3   1  a    E'    2 7717.795425  7717.514476   0.280949  16BaYuTeBe.242     Br       True
7615.65518  0.01  0.01    1    1    1    0   1   0   2   0  a    E"   -5     0     0     0     0    0    0   3   1  a    E'    2 7731.933475  7731.458189   0.475286  16BaYuTeBe.270     Br       True
7803.09530  0.01  0.01    0    1    2    0   2   0   2   1  s    E"   -6     0     0     0     0    0    0   3   2  s    E'    1 7907.517388  7907.410479   0.106909  16BaYuTeBe.633     CD       True
7862.72158  0.01  0.01    0    1    2    0   2   0   2   1  s    E"   -6     0     0     0     0    0    0   2   2  s    E'    1 7907.517558  7907.410479   0.107079  16BaYuTeBe.729     CD       True
7793.42203  0.01  0.01    0    1    2    0   2   0   2   2  a    E"   -7     0     0     0     0    0    0   3   1  a    E'    2 7909.700325  7909.550427   0.149898  16BaYuTeBe.614     CD       True
7892.73857  0.01  0.01    0    1    2    0   2   0   2   2  a    E"   -7     0     0     0     0    0    0   1   1  a    E'    1 7909.701926  7909.550427   0.151499  16BaYuTeBe.767     CD       True
7852.99292  0.01  0.01    0    1    2    0   2   0   2   2  a    E"   -7     0     0     0     0    0    0   2   1  a    E'    2 7909.702147  7909.550427   0.151720  16BaYuTeBe.711     CD       True
7864.42667  0.01  0.01    0    1    2    0   2   0   2   0  a    E"   -8     0     0     0     0    0    0   2   1  a    E'    2 7921.135897  7921.150194  -0.014297  16BaYuTeBe.732     CD       True
7904.17283  0.01  0.01    0    1    2    0   2   0   2   0  a    E"   -8     0     0     0     0    0    0   1   1  a    E'    1 7921.136186  7921.150194  -0.014008  16BaYuTeBe.774     CD       True
7804.85799  0.01  0.01    0    1    2    0   2   0   2   0  a    E"   -8     0     0     0     0    0    0   3   1  a    E'    2 7921.136285  7921.150194  -0.013909  16BaYuTeBe.637     CD       True
8082.26288  0.01  0.01    2    0    0    1   0   1   2   2  a    E"   -9     0     0     0     0    0    0   2   1  a    E'    2 8138.972107  8140.648838  -1.676731  16BaYuTeBe.978     Br       True
8094.46024  0.01  0.01    2    0    0    1   0   1   2   0  a    E"  -10     0     0     0     0    0    0   2   1  a    E'    2 8151.169467  8152.909979  -1.740512 16BaYuTeBe.1008     Br       True
8160.25530  0.01  0.01    1    0    1    1   1   1   2   2  a    E"  -11     0     0     0     0    0    0   2   1  a    E'    2 8216.964527  8216.008040   0.956487 16BaYuTeBe.1148     Br       True
8272.22649  0.01  0.01    1    0    0    3   0   1   2   2  a    E"  -12     0     0     0     0    0    0   1   1  a    E'    1 8289.189846  8287.225543   1.964303 16BaYuTeBe.1490     Br      False
8271.70329  0.01  0.01    1    0    0    3   0   1   2   1  s    E"  -13     0     0     0     0    0    0   2   2  s    E'    1 8316.499268  8318.309171  -1.809903 16BaYuTeBe.1488   CD_b      False
8200.22995  0.01  0.01    1    0    0    3   0   1   2   1  s    E"  -13     0     0     0     0    0    0   3   1  a    E'    2 8316.508245  8318.309171  -1.800926 16BaYuTeBe.1250   CD_b      False
8302.31058  0.01  0.01    1    0    0    3   0   1   2   0  a    E"  -14     0     0     0     0    0    0   1   1  a    E'    1 8319.273936  8318.807952   0.465984 16BaYuTeBe.1600   CD_b      False
8214.86770  0.01  0.01    1    0    0    3   0   1   2   0  a    E"  -14     0     0     0     0    0    0   3   2  s    E'    1 8319.289788  8318.807952   0.481836 16BaYuTeBe.1301   CD_b      False
8280.42706  0.01  0.01    1    2    0    2   0   2   2   1  s    E"  -15     0     0     0     0    0    0   2   2  s    E'    1 8325.223038  8320.619200   4.603838 16BaYuTeBe.1519   CD_b      False
8220.80868  0.01  0.01    1    2    0    2   0   2   2   1  s    E"  -15     0     0     0     0    0    0   3   2  s    E'    1 8325.230768  8320.619200   4.611568 16BaYuTeBe.1322   CD_b      False
8279.62676  0.01  0.01    1    0    1    1   1   1   2   1  s    E"  -16     0     0     0     0    0    0   2   1  a    E'    2 8336.335987  8336.023756   0.312231 16BaYuTeBe.1517     Br      False
8280.08616  0.01  0.01    1    0    1    1   1   1   2   2  a    E"  -17     0     0     0     0    0    0   2   1  a    E'    2 8336.795387  8336.023756   0.771631 16BaYuTeBe.1518     Br      False
8328.02169  0.01  0.01    1    0    1    1   1   1   2   0  a    E"  -18     0     0     0     0    0    0   1   1  a    E'    1 8344.985046  8344.835536   0.149510 16BaYuTeBe.1703     CD      False
8288.27903  0.01  0.01    1    0    1    1   1   1   2   0  a    E"  -18     0     0     0     0    0    0   2   1  a    E'    2 8344.988257  8344.835536   0.152721 16BaYuTeBe.1546     CD      False
