        nu          int  J'  K' Gamma' <-  J"  K" Gamma"      Calc' <-'    Calc"     nuCalc  v1'  v2'  v3'  v4'  v5'  v6' <-''  v1"  v2"  v3"  v4"  v5"  v6"          Int  nu1'  nu2'  nu3'  nu4'  L3'  L4' inv'      Eobs'
12544.9119 8.800000e-25   3   1    A2' <-   4   0    A2" 12746.5713  <- 199.2978 12547.2735    0    0    4    0    0    1   <-    0    0    0    0    0    1 1.480000e-24   2.0   1.0   2.0   0.0  2.0  0.0    a 12744.1854
12548.6938 4.900000e-25   4   3     E" <-   5   4     E' 12790.2839  <- 238.6513 12551.6327    0    0    4    0    0    0   <-    0    0    0    0    0    0 5.370000e-24   3.0   0.0   1.0   0.0  1.0  0.0    s 12787.3464
12548.9422 7.700000e-25   4   4    A2" <-   5   3    A2' 12817.6458  <- 265.2288 12552.4170    0    0    4    0    0    1   <-    0    0    0    0    0    1 4.330000e-25   0.0   1.0   4.0   0.0  2.0  0.0    a 12814.1741
12549.4751 2.290000e-25   4   1    A2" <-   5   3    A2' 12815.6976  <- 265.2288 12550.4687    0    0    4    0    0    0   <-    0    0    0    0    0    1 8.360000e-25   3.0   0.0   1.0   0.0  1.0  0.0    s 12814.7190
12550.1392 1.930000e-24   3   0     E' <-   4   1     E" 12746.3841  <- 194.9083 12551.4758    0    0    4    0    0    0   <-    0    0    0    0    0    0 2.420000e-24   3.0   0.0   1.0   0.0  1.0  0.0    s 12745.0456
12551.4424 1.590000e-24   3   1     E" <-   4   2     E' 12740.3391  <- 183.8301 12556.5090    0    0    4    0    0    0   <-    0    0    0    0    0    0 1.510000e-24   3.0   0.0   1.0   0.0  1.0  0.0    s 12735.2715
12552.8441 4.630000e-25   2   2     E' <-   3   1     E" 12671.7701  <- 115.5377 12556.2324    0    0    4    0    0    0   <-    0    0    0    0    0    0 5.940000e-25   3.0   0.0   1.0   0.0  1.0  0.0    s 12668.3932
12554.5157 1.490000e-24   3   0     E" <-   4   1     E' 12752.0289  <- 195.6149 12556.4141    0    0    4    0    0    1   <-    0    0    0    0    0    1 1.800000e-24   3.0   1.0   1.0   0.0  1.0  0.0    a 12750.1264
12554.7953 3.020000e-24   4   3     E' <-   5   4     E" 12796.4136  <- 239.4086 12557.0050    0    0    4    0    0    1   <-    0    0    0    0    0    1 3.990000e-24   3.0   1.0   1.0   0.0  1.0  0.0    a 12794.2035
12555.0074 2.520000e-25   3   1     E' <-   4   2     E" 12742.1144  <- 184.5558 12557.5587    0    0    4    0    0    1   <-    0    0    0    0    0    1 6.350000e-25   4.0   1.0   0.0   0.0  0.0  0.0    a 12739.5634
12559.2917 3.670000e-24   2   1    A2" <-   3   0    A2' 12682.6027  <- 119.2393 12563.3635    0    0    4    0    0    0   <-    0    0    0    0    0    0 5.170000e-24   3.0   0.0   1.0   0.0  1.0  0.0    s 12678.5295
12559.4082 4.900000e-25   7   7    A2" <-   7   6    A2' 12987.4457  <- 422.4542 12564.9914    0    0    4    0    0    0   <-    0    0    0    0    0    0 1.030000e-24   3.0   0.0   1.0   0.0  1.0  0.0    s 12981.8239
12562.1034 7.090000e-24   3   2    A2' <-   4   3    A2" 12729.9911  <- 165.3307 12564.6604    0    0    4    0    0    0   <-    0    0    0    0    0    0 6.910000e-24   3.0   0.0   1.0   0.0  1.0  0.0    s 12727.4345
12562.8331 1.490000e-24   3   1     E' <-   4   2     E" 12749.1734  <- 184.5558 12564.6176    0    0    4    0    0    1   <-    0    0    0    0    0    1 2.720000e-24   0.0   1.0   4.0   0.0  2.0  0.0    a 12747.3957
12565.8946 2.560000e-24   4   4     E" <-   5   5     E' 12771.6080  <- 206.0854 12565.5226    0    0    4    0    0    1   <-    0    0    0    0    0    1 5.260000e-24   2.0   1.0   2.0   0.0  2.0  0.0    a 12771.9820
12566.6420 5.380000e-25   2   2     E" <-   3   1     E' 12678.7430  <- 116.2811 12562.4619    0    0    4    0    0    1   <-    0    0    0    0    0    1 5.370000e-25   2.0   1.0   2.0   0.0  2.0  0.0    a 12682.9105
12569.6868 5.290000e-24   3   2    A2" <-   4   3    A2' 12738.1795  <- 166.0892 12572.0903    0    0    4    0    0    1   <-    0    0    0    0    0    1 6.580000e-24   2.0   1.0   2.0   0.0  2.0  0.0    a 12735.7747
12570.0277 8.400000e-25   7   7    A2' <-   7   6    A2" 12995.3526  <- 423.2205 12572.1320    0    0    4    0    0    1   <-    0    0    0    0    0    1 6.000000e-25   2.0   1.0   2.0   0.0  2.0  0.0    a 12993.2624
12570.1614 6.580000e-25   7   6     E' <-   7   5     E" 13036.9726  <- 463.0118 12573.9609    0    0    4    0    0    0   <-    0    0    0    0    0    0 2.740000e-25   3.0   0.0   1.0   0.0  1.0  0.0    s 13033.1831
