C.1	C.2       	C.3       	C.4       	C.5                 	C.6	C.7	C.8	C.9	C.10	C.11	C.12	C.13	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32
	4726.08749	          	3.3773E-25																												
	4726.22515	          	1.3889E-24																												
1	4726.30395	   0.00004	2.4480E-24	0003_03_sA1'<-0000  	1	0	0	0	3	0	3	0	1	7	0	2	2	87	0	0	0	0	0	0	1	5	8	0	1	5	3
1	4726.40092	          	2.5679E-25	1100_00_sA1'<-0000  	1	1	1	0	0	0	0	0	1	12	8	3	3	169	0	0	0	0	0	0	0	1	11	11	6	6	1
1	4726.55220	          	7.4040E-25	1100_00_sA1'<-0000  	1	1	1	0	0	0	0	0	1	13	7	6	6	196	0	0	0	0	0	0	0	1	12	10	3	3	2
	4726.67750	          	1.8685E-25																												
	4726.77953	          	3.4472E-25																												
1	4726.83619	   0.00004	2.3881E-25	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	7	5	6	5	74	0	0	0	0	0	0	1	5	8	3	4	2	2
	4726.97031	          	7.4840E-25																												
	4727.06902	          	1.4988E-24																												
	4727.10931	          	5.8553E-25																												
1	4727.54220	   0.00020	1.0392E-24	0011_11_sE'<-0000   	1	0	0	1	1	1	1	0	3	11	9	4	6	231	0	0	0	0	0	0	0	1	12	8	3	3	3
1	4727.64488	   0.00154	3.9568E-25	0003_03_sA2'<-0000  	1	0	0	0	3	0	3	0	2	9	1	6	6	219	0	0	0	0	0	0	0	1	10	2	3	3	6
	4727.67332	          	2.1583E-25																												
	4727.72037	          	4.9460E-25																												
	4728.15502	          	4.6363E-25																												
	4728.37295	          	3.1675E-25																												
1	4728.40790	          	7.4540E-25	0110_10_sE'<-0000   	1	0	1	1	0	1	0	0	3	13	10	3	3	184	0	0	0	0	0	0	0	1	12	11	6	6	1
1	4728.57194	   0.00025	2.7778E-25	1001_01_sE'<-0000   	1	1	0	0	1	0	1	0	3	10	5	6	6	240	0	0	0	0	0	0	0	1	11	4	3	3	6
	4728.64495	          	2.2882E-24																												
