ν1	ν2	ν3	ν4	L3	L4	J	K	i	Γ	Nb	E (cm-1)	δ (cm-1)	Transitions
0	0	0	0	0	0	11	8	s	E'	3	1068.97837	3.48E-04	122
0	0	0	0	0	0	10	2	s	E'	6	1069.152986	3.17E-04	142
0	1	0	0	0	0	4	4	s	E'	4	1069.267973	2.15E-04	96
0	0	0	0	0	0	10	2	a	E"	6	1069.564486	3.33E-04	144
0	0	0	0	0	0	11	8	a	E"	3	1069.584198	3.33E-04	127
0	1	0	0	0	0	3	2	a	E"	4	1071.035545	1.76E-04	117
0	0	0	0	0	0	10	1	s	E"	7	1079.833563	3.33E-04	120
0	0	0	0	0	0	10	1	a	E'	7	1080.234413	3.17E-04	128
0	1	0	0	0	0	3	1	a	E'	4	1082.192328	2.00E-04	116
0	0	0	0	0	0	10	0	a	A2"	4	1083.787794	3.17E-04	122
0	0	0	0	0	0	12	11	s	E"	1	1096.643973	3.63E-04	93
0	1	0	0	0	0	4	3	s	A2"	3	1097.068054	2.00E-04	137
0	0	0	0	0	0	12	11	a	E'	1	1097.501074	3.49E-04	90
0	1	0	0	0	0	4	4	a	E"	4	1105.379369	2.24E-04	82
0	1	0	0	0	0	4	2	s	E'	5	1116.835521	2.00E-04	137
0	0	0	0	0	0	11	7	s	E"	4	1123.242483	3.33E-04	111
0	0	0	0	0	0	11	7	a	E'	4	1123.773958	3.48E-04	113
0	1	0	0	0	0	4	1	s	E"	5	1128.660433	2.24E-04	135
0	1	0	0	0	0	4	3	a	A2'	2	1131.44283	2.24E-04	121
0	1	0	0	0	0	5	5	s	E"	5	1134.048434	2.39E-04	87
0	1	0	0	0	0	4	2	a	E"	6	1150.01672	2.24E-04	110
0	1	0	0	0	0	4	1	a	E'	6	1161.143788	2.00E-04	119
0	1	0	0	0	0	4	0	a	A2"	4	1164.849935	2.00E-04	89
0	1	0	0	0	0	5	4	s	E'	5	1169.792217	2.46E-04	116
0	0	0	0	0	0	11	6	s	A2'	2	1169.96752	3.33E-04	150
0	0	0	0	0	0	11	6	a	A2"	2	1170.442003	3.47E-04	145
0	1	0	0	0	0	5	5	a	E'	6	1170.626739	2.49E-04	82
0	0	0	0	0	0	12	10	s	E'	2	1173.814902	3.51E-04	91
0	0	0	0	0	0	12	10	a	E"	2	1174.52845	3.64E-04	86
0	0	0	0	0	0	13	13	s	E"	1	1175.354017	3.68E-04	56
0	0	0	0	0	0	13	13	a	E'	1	1176.46001	3.80E-04	55
0	1	0	0	0	0	5	3	s	A2"	2	1197.425546	2.45E-04	146
0	1	0	0	0	0	5	4	a	E"	6	1204.128465	2.24E-04	113
0	0	0	0	0	0	11	5	s	E"	5	1209.287714	3.33E-04	95
0	0	0	0	0	0	11	5	a	E'	5	1209.71878	3.48E-04	92
0	1	0	0	0	0	6	6	s	A2'	3	1210.939874	2.65E-04	102
0	1	0	0	0	0	5	2	s	E'	7	1217.075466	2.45E-04	139
0	1	0	0	0	0	5	1	s	E"	7	1228.83065	2.24E-04	128
0	1	0	0	0	0	5	3	a	A2'	3	1230.103135	2.24E-04	135
0	1	0	0	0	0	5	0	s	A2'	4	1232.745369	2.24E-04	100
0	0	0	0	0	0	11	4	s	E'	6	1241.313226	3.48E-04	94
0	0	0	0	0	0	11	4	a	E"	6	1241.711743	3.33E-04	97
0	0	0	0	0	0	12	9	s	A2"	2	1242.974159	3.48E-04	118
0	0	0	0	0	0	12	9	a	A2'	2	1243.578814	3.62E-04	103
0	1	0	0	0	0	6	6	a	A2"	4	1248.13496	2.47E-04	89
0	1	0	0	0	0	5	2	a	E"	8	1248.617435	2.24E-04	118
0	1	0	0	0	0	6	5	s	E"	5	1254.640325	2.67E-04	110
0	1	0	0	0	0	5	1	a	E'	8	1259.707271	2.45E-04	107
0	0	0	0	0	0	11	3	s	A2"	3	1266.144033	3.47E-04	118
0	0	0	0	0	0	11	3	a	A2'	3	1266.495482	3.33E-04	128
0	0	0	0	0	0	13	12	s	A2'	1	1268.277925	3.64E-04	77
0	0	0	0	0	0	13	12	a	A2"	1	1269.167035	3.79E-04	78
0	0	0	0	0	0	11	2	s	E'	7	1283.813016	3.48E-04	87
0	0	0	0	0	0	11	2	a	E"	7	1284.171923	3.33E-04	90
0	1	0	0	0	0	6	5	a	E'	5	1289.074865	2.49E-04	101
0	1	0	0	0	0	6	4	s	E'	6	1290.126857	2.46E-04	123
0	0	0	0	0	0	11	1	s	E"	8	1294.402477	3.33E-04	73
0	0	0	0	0	0	11	1	a	E'	8	1294.752112	3.48E-04	76
0	0	0	0	0	0	11	0	s	A2'	4	1297.929216	3.33E-04	68
0	1	0	0	0	0	7	7	s	E"	6	1299.913735	4.40E-04	80
0	0	0	0	0	0	12	8	s	E'	3	1304.334248	3.49E-04	66
0	0	0	0	0	0	12	8	a	E"	3	1304.855702	3.63E-04	72
0	1	0	0	0	0	6	3	s	A2"	5	1317.563697	2.45E-04	135
0	1	0	0	0	0	6	4	a	E"	6	1322.442851	2.65E-04	118
0	1	0	0	0	0	6	2	s	E'	7	1337.076066	2.45E-04	124
