        C3     C4  Uncertainty  C14  C15  C16  C17  C18  C19  C22  C23 C20 C25  C26  C27  C28  C29  C30  C31  C32  C35  C36 C33 C38  C39       Source
4283.77460 0.0005       0.0005    1    1    0    0    0    0    9    7   s  E"  126    0    0    0    0    0    0    9    7   a  E'    2  21CeCaCo.76
4283.79780 0.0005       0.0005    0    2    1    0    1    0    4    0   a  E"  129    0    1    0    0    0    0    5    1   a  E'    8  21CeCaCo.77
4283.89420 0.0005       0.0005    0    1    1    0    1    0    6    1   s  E"  102    0    0    0    0    0    0    7    2   s  E'    4  21CeCaCo.78
4284.19350 0.0006       0.0006    1    1    0    0    0    0   10    5   s  E"  152    0    0    0    0    0    0   10    5   a  E'    4  21CeCaCo.79
4284.46240 0.0005       0.0005    0    1    0    2    0    2    5    2   s A2'   41    0    0    0    0    0    0    4    3   s A2"    1  21CeCaCo.80
4284.50500 0.0005       0.0005    0    2    1    0    1    0    6    5   a A2'   86    0    1    0    0    0    0    7    6   a A2"    3  21CeCaCo.81
4284.55730 0.0005       0.0005    0    1    0    2    0    2    7    2   s  E'  101    0    0    0    0    0    0    6    1   s  E"    4  21CeCaCo.82
4284.60380 0.0005       0.0005    0    1    0    2    0    2    8    7   a  E'  110    0    0    0    0    0    0    8    8   a  E"    1  21CeCaCo.83
4284.65340 0.0005       0.0005    1    1    0    0    0    0    8    7   s  E"  112    0    0    0    0    0    0    8    7   a  E'    2  21CeCaCo.84
4284.66910 0.0005       0.0005    1    1    0    0    0    0    9    6   s A2'   70    0    0    0    0    0    0    9    6   a A2"    2  21CeCaCo.85
4284.73480 0.0005       0.0005    0    2    1    0    1    0    3    3   a  E'   96    0    1    0    0    0    0    4    2   a  E"    6  21CeCaCo.86
4284.98100 0.0005       0.0005    0    1    0    2    0    2    6    1   s  E"   87    0    0    0    0    0    0    5    1   a  E'    4  21CeCaCo.87
4285.00400 0.0005       0.0005    0    3    1    0    1    0    2    2   s  E'   86    0    2    0    0    0    0    1    1   s  E"    3  21CeCaCo.88
4285.39570 0.0005       0.0005    0    1    0    2    0    2    4    1   a  E'   63    0    0    0    0    0    0    3    1   s  E"    2  21CeCaCo.89
4285.45200 0.0005       0.0005    1    1    0    0    0    0    7    7   s  E"   97    0    0    0    0    0    0    7    7   a  E'    1  21CeCaCo.90
4285.53430 0.0005       0.0005    1    1    0    0    0    0   10    4   s  E'  156    0    0    0    0    0    0   10    4   a  E"    5  21CeCaCo.91
4285.55440 0.0005       0.0005    1    2    0    0    0    0    8    6   a A2"  118    0    1    0    0    0    0    8    6   s A2'    3  21CeCaCo.92
