C.1 	  C.2         	C.3       	C.4	  C.5         	 C.6     	C.7	 C.8     	  C.9         	C.10      	  C.11        	  C.12        	C.13              	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32	C.33	C.34	C.35	C.36	C.37	C.38	C.39	C.40
64	  3914.65735	5.5031E-24	3	  3914.65741	 0.00006	3	 0.00006	  3914.51092	5.5621E-24	  1323.22520	  5237.73620	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	5	4	3	3	119	0	1	0	0	0	0	1	5	6	4	3	6	6
65	  3914.94622	1.0405E-24	3																																				
66	  3915.40140	3.4615E-25	3																																				
67	  3915.84480	3.6922E-25	3	  3915.84480	          	1	 0.00000	  3915.81615	3.0031E-25	  1161.93120	  5077.74730	1001_01_aE"<-0100	1	1	0	0	1	0	1	1	6	3	0	2	6	77	0	1	0	0	0	0	1	5	4	1	6	3	6
68	  3915.95498	3.7552E-25	3	  3915.95499	 0.00003	4	 0.00001	  3915.70078	4.0878E-25	  1027.07420	  4942.77500	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	9	5	6	6	122	0	0	0	0	0	0	0	1	10	4	3	3	5
69	  3916.28272	2.1188E-25	3	  3916.27920	 0.00143	2	-0.00352	  3916.20822	2.7436E-25	  1771.29940	  5687.50760	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	13	9	4	2	89	0	0	0	0	0	0	0	1	14	9	5	5	2
70	  3916.50544	5.1188E-25	3																																				
71	  3916.65367	3.6503E-25	3																																				
72	  3916.76107	4.7412E-25	3																																				
73	  3916.87636	4.2377E-25	3																																				
74	  3917.24568	2.3077E-24	3	  3917.24577	 0.00009	3	 0.00009	  3917.24537	2.4647E-24	   853.90340	  4771.14880	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	9	8	3	3	111	0	0	0	0	0	0	1	5	10	8	3	6	2
75	  3917.30318	1.0385E-24	3																																				
76	  3917.38115	2.6433E-25	3																																				
77	  3917.46757	2.7692E-25	3	  3917.46715	 0.00042	3	-0.00042	  3917.44642	3.9254E-25	  1429.90600	  5347.35240	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	12	10	3	6	148	0	0	0	0	0	0	0	1	13	10	3	3	3
78	  3917.60262	6.7761E-25	3																																				
79	  3917.69668	2.0139E-25	3																																				
80	  3918.01489	7.3006E-25	3	  3918.01520	 0.00012	2	 0.00031	  3917.80766	7.0332E-25	  1359.32040	  5277.12810	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	11	7	6	6	150	0	0	0	0	0	0	1	5	12	7	6	3	4
81	  3918.02295	1.9406E-24	3	  3918.02299	 0.00004	3	 0.00004	  3917.96367	9.8524E-25	   238.65180	  4156.61540	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	4	3	5	6	50	0	0	0	0	0	0	0	1	5	4	3	3	2
82	  3918.11540	4.9720E-25	3	  3918.11543	 0.00003	4	 0.00003	  3918.04844	5.1542E-25	   195.61170	  4113.66020	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	3	1	6	6	41	0	0	0	0	0	0	1	5	4	1	6	3	3
83	  3918.56711	4.9929E-25	3	  3918.56680	 0.00032	3	-0.00031	  3918.48703	2.6153E-25	   194.90700	  4113.39400	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	3	2	3	3	39	0	0	0	0	0	0	0	1	4	1	6	6	3
84	  3918.60700	1.5524E-25	3																																				
85	  3918.88387	1.2747E-23	3	  3918.88391	 0.00004	3	 0.00004	  3918.73960	1.3121E-23	  1349.09780	  5267.83740	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	5	3	5	5	57	0	1	0	0	0	0	1	5	6	3	4	2	4
86	  3919.06353	5.8950E-25	3	  3919.06438	 0.00020	2	 0.00085	  3919.00034	6.2988E-25	  1097.43570	  5016.43600	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	11	11	6	3	131	0	0	0	0	0	0	0	1	12	11	6	6	1
87	  3919.40700	1.9510E-25	3																																				
88	  3919.78421	2.7692E-25	3	  3919.78421	          	1	 0.00000	  3919.75671	2.6748E-25	  1150.80440	  5070.56110	1001_01_aE"<-0100	1	1	0	0	1	0	1	1	6	3	1	6	3	75	0	1	0	0	0	0	1	5	4	2	3	6	6
89	  3920.10662	1.0028E-24	3																																				
90	  3920.18172	4.5799E-24	3	  3920.18169	 0.00003	2	-0.00003	  3920.17212	3.9223E-24	   412.62500	  4332.79720	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	5	1	6	3	66	0	0	0	0	0	0	0	1	6	1	6	6	4
91	  3920.71705	1.5734E-24	3	  3920.71705	          	1	-0.00000	  3920.23651	1.5279E-24	  1053.11000	  4973.34650	0202_02_sE'<-0100	1	0	2	0	2	0	2	0	3	4	1	6	5	46	0	1	0	0	0	0	0	1	3	0	2	2	3
92	  3921.16030	9.7132E-25	3	  3921.15600	 0.00248	2	-0.00430	  3921.10392	9.2641E-25	   383.97720	  4305.08110	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	6	5	6	5	40	0	0	0	0	0	0	1	5	6	3	4	2	2
93	  3921.34414	1.0531E-24	3	  3921.34382	 0.00056	2	-0.00032	  3921.27814	1.1223E-24	   358.28360	  4279.56180	0301_01_sE'<-0000	1	0	3	0	1	0	1	0	3	5	2	3	3	64	0	0	0	0	0	0	1	5	6	4	3	6	2
94	  3921.89006	6.8459E-24	3	  3921.89042	 0.00006	3	 0.00036	  3921.74606	7.0145E-24	  1367.53440	  5289.28040	1200_00_sA1'<-0100	1	1	2	0	0	0	0	0	1	5	2	3	3	128	0	1	0	0	0	0	1	5	6	2	3	6	8
95	  3921.93004	1.3426E-24	3																																				
96	  3922.02952	4.7832E-25	3	  3922.02952	          	1	 0.00000	  3921.71122	5.5831E-25	  1658.41240	  5580.12360	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	12	6	2	2	84	0	0	0	0	0	0	1	5	13	6	1	5	3
97	  3922.06770	4.6573E-25	3	  3922.06728	 0.00010	3	-0.00042	  3921.83698	4.1464E-25	   463.01180	  4384.84880	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	6	6	2	3	76	0	0	0	0	0	0	0	1	7	5	6	6	2
98	  3922.78170	4.6387E-24	3	  3922.78166	 0.00004	3	-0.00004	  3922.76982	3.8544E-24	   401.64830	  4324.41810	0400_00_aA2"<-0000	1	0	4	0	0	0	0	1	5	5	2	3	6	69	0	0	0	0	0	0	0	1	6	2	3	3	3
