C.1 	  C.2         	C.3       	C.4	  C.5         	 C.6     	C.7	 C.8     	  C.9         	C.10      	  C.11        	  C.12        	C.13              	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32	C.33	C.34	C.35	C.36	C.37	C.38	C.39	C.40
4211	  4290.61574	6.6533E-25	3	  4290.61745	 0.00004	5	 0.00171	  4290.61116	7.2530E-25	    86.65700	  4377.26820	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	4	0	1	5	34	0	0	0	0	0	0	1	5	3	3	4	2	1
4212	  4290.76563	2.2849E-23	3	  4290.76552	 0.00008	6	-0.00011	  4290.73324	1.9880E-23	   282.93760	  4573.67090	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	6	4	3	6	86	0	0	0	0	0	0	0	1	5	2	3	3	3
4213	  4290.80740	2.6224E-24	3	  4290.80751	 0.00010	6	 0.00011	  4290.72794	1.5743E-24	   955.10290	  5245.83080	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	9	4	3	5	71	0	0	0	0	0	0	0	1	10	6	2	2	2
4214	  4290.85230	1.8710E-23	3	  4290.85233	 0.00003	3	 0.00003	  4290.79611	1.7557E-23	   413.23810	  4704.03420	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	6	1	6	6	93	0	0	0	0	0	0	1	5	6	1	6	3	4
4215	  4290.90378	1.7210E-21	1	  4290.90378	 0.00001	2	 0.00000	  4290.88936	1.7465E-21	   140.16180	  4431.05120	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	4	4	3	3	64	0	0	0	0	0	0	1	5	4	4	3	6	1
4216	  4290.93921	8.1016E-22	1	  4290.93921	 0.00000	3	 0.00000	  4290.90626	8.2511E-22	   265.22630	  4556.13260	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	5	3	5	5	35	0	0	0	0	0	0	1	5	5	3	4	2	1
4217	  4291.12784	5.2954E-24	3	  4291.12759	 0.00054	2	-0.00025	  4290.83531	3.9315E-24	  1582.47650	  5873.31190	1200_00_aA2"<-0100	1	1	2	0	0	0	0	1	5	9	8	3	6	235	0	1	0	0	0	0	0	1	9	8	3	3	7
4218	  4291.16012	5.2240E-24	3	  4291.16003	 0.00008	5	-0.00009	  4290.93403	3.8939E-24	   907.96190	  5198.89590	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	10	4	3	3	142	0	0	0	0	0	0	0	1	10	7	6	6	3
4219	  4291.19145	8.4826E-24	3	  4291.19170	 0.00017	8	 0.00025	  4291.13817	6.8316E-24	   139.35670	  4430.49490	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	5	1	6	6	73	0	0	0	0	0	0	0	1	4	4	3	3	1
4220	  4291.21440	9.8802E-24	3	  4291.21441	 0.00002	3	 0.00001	  4291.12234	9.2693E-24	  1161.93120	  5453.05350	0210_10_aE"<-0100	1	0	2	1	0	1	0	1	6	3	2	3	6	99	0	1	0	0	0	0	1	5	4	1	6	3	6
4221	  4291.34367	9.6619E-24	3	  4291.34358	 0.00016	2	-0.00009	  4291.22729	9.9577E-24	  1617.84940	  5909.07670	0310_10_sE'<-0200	1	0	3	1	0	1	0	0	3	2	1	6	5	47	0	2	0	0	0	0	0	1	1	0	2	2	3
4222	  4291.39025	1.6358E-22	1	  4291.39026	 0.00001	3	 0.00001	  4291.35328	1.6462E-22	   283.61690	  4574.97020	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	5	2	3	3	80	0	0	0	0	0	0	1	5	5	2	3	6	3
164	  4291.40033	7.7944E-24	3										2																										
4223	  4291.44297	2.5972E-24	3	  4291.44240	 0.00069	5	-0.00057	  4291.34694	2.5506E-24	  1405.14480	  5696.49170	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	12	6	1	5	93	0	0	0	0	0	0	0	1	12	6	2	2	3
4224	  4291.49470	1.3049E-24	3																																				
4225	  4291.58321	1.6656E-21	1	  4291.58322	 0.00001	3	 0.00001	  4291.56350	1.6918E-21	   166.08740	  4457.65090	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	4	3	5	5	36	0	0	0	0	0	0	1	5	4	3	4	2	1
4226	  4291.65545	3.9118E-23	3	  4291.65546	 0.00000	3	 0.00001	  4291.61595	3.8579E-23	   294.63050	  4586.24650	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	5	1	6	6	81	0	0	0	0	0	0	1	5	5	1	6	3	4
4227	  4291.69652	5.1492E-24	1	  4291.69660	 0.00008	3	 0.00008	  4291.43277	1.1842E-23	  1198.21550	  5489.64830	1200_00_aA2"<-0100	1	1	2	0	0	0	0	1	5	5	3	4	2	81	0	1	0	0	0	0	0	1	5	3	5	5	2
4228	  4291.71304	1.5668E-21	1	  4291.71306	 0.00002	4	 0.00002	  4291.66380	1.6347E-21	   521.62170	  4813.28550	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	6	2	3	2	47	0	0	0	0	0	0	0	1	7	3	5	5	2
4229	  4291.85692	5.8871E-24	3	  4291.85595	 0.00097	3	-0.00097	  4291.83369	3.4567E-24	   711.54510	  5003.37880	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	9	9	4	6	128	0	0	0	0	0	0	1	5	9	7	6	3	2
4230	  4291.89514	2.3746E-23	3	  4291.89522	 0.00014	7	 0.00008	  4291.78078	1.9475E-23	   413.23810	  4705.01890	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	7	3	4	6	101	0	0	0	0	0	0	1	5	6	1	6	3	4
4231	  4291.97325	3.1304E-23	3	  4291.97330	 0.00001	3	 0.00005	  4291.86825	3.1301E-23	  1249.40200	  5541.27030	0210_10_aE"<-0100	1	0	2	1	0	1	0	1	6	4	1	6	3	129	0	1	0	0	0	0	1	5	5	2	3	6	8
4232	  4292.00486	6.6571E-24	3	  4292.00519	 0.00069	2	 0.00033	  4291.72281	5.8954E-24	  1461.40640	  5753.12920	1200_00_aA2"<-0100	1	1	2	0	0	0	0	1	5	8	7	6	3	223	0	1	0	0	0	0	0	1	8	7	6	6	8
4233	  4292.04914	3.3752E-22	1	  4292.04924	 0.00003	3	 0.00010	  4292.02561	3.3770E-22	   184.55310	  4476.57870	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	4	2	3	3	65	0	0	0	0	0	0	1	5	4	2	3	6	2
4234	  4292.08791	3.2555E-21	1	  4292.08791	 0.00001	2	 0.00000	  4292.07875	3.3039E-21	    86.65700	  4378.73570	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	3	3	5	5	22	0	0	0	0	0	0	1	5	3	3	4	2	1
165	  4292.15423	7.3579E-24	3										2																										
4235	  4292.19640	4.7219E-22	1	  4292.19635	 0.00004	6	-0.00005	  4292.19551	5.0060E-22	   654.44860	  4946.64410	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	7	3	5	3	118	0	0	0	0	0	0	1	5	8	4	3	6	4
4236	  4292.19641	7.8132E-24	1	  4292.20055	 0.00009	3	 0.00414	  4292.25188	8.2939E-24	   853.90340	  5146.15530	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	10	7	6	3	138	0	0	0	0	0	0	1	5	10	8	3	6	2
4237	  4292.32181	1.0154E-22	1	  4292.32168	 0.00013	3	-0.00013	  4292.28267	1.0787E-22	  1170.58270	  5462.86540	0210_10_sE'<-0100	1	0	2	1	0	1	0	0	3	6	5	6	6	163	0	1	0	0	0	0	0	1	5	4	3	3	5
4238	  4292.32182	7.4462E-23	1	  4292.32218	 0.00004	3	 0.00036	  4292.29612	7.9157E-23	   195.61170	  4487.90790	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	4	1	6	6	65	0	0	0	0	0	0	1	5	4	1	6	3	3
4239	  4292.42846	4.4395E-23	3	  4292.42841	 0.00001	3	-0.00005	  4292.42340	3.7789E-23	   205.26720	  4497.69060	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	6	5	6	3	83	0	0	0	0	0	0	0	1	5	5	6	6	1
166	  4292.46165	4.3493E-24	3										2																										
4240	  4292.56875	6.4974E-22	1	  4292.56875	 0.00001	3	-0.00000	  4292.55570	6.5984E-22	   105.18360	  4397.73930	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	3	2	3	3	49	0	0	0	0	0	0	1	5	3	2	3	6	1
4241	  4292.59652	1.1815E-23	3	  4292.59666	 0.00016	6	 0.00014	  4292.66236	1.0385E-23	   540.42130	  4833.08360	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	8	4	3	3	114	0	0	0	0	0	0	1	5	7	2	3	6	4
4242	  4292.65065	8.1001E-23	1	  4292.65057	 0.00007	3	-0.00008	  4292.48723	8.6261E-23	  1117.62640	  5410.11360	0210_10_sE'<-0100	1	0	2	1	0	1	0	0	3	5	3	5	6	149	0	1	0	0	0	0	0	1	4	2	3	3	5
167	  4292.82860	5.7990E-24	3										2																										
4243	  4292.84951	1.5354E-22	1	  4292.84950	 0.00000	3	-0.00001	  4292.83403	1.5470E-22	   116.27860	  4409.11260	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	3	1	6	6	50	0	0	0	0	0	0	1	5	3	1	6	3	2
4244	  4292.90290	2.5700E-24	3	  4292.90241	 0.00008	8	-0.00049	  4292.85274	2.1050E-24	   416.88810	  4709.74090	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	7	6	2	2	54	0	0	0	0	0	0	1	5	6	0	1	5	3
4245	  4292.95206	1.2615E-21	1	  4292.95206	 0.00001	2	 0.00000	  4292.94695	1.2819E-21	    45.58690	  4338.53390	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	2	2	3	3	37	0	0	0	0	0	0	1	5	2	2	3	6	1
4246	  4293.00414	4.0661E-24	3	  4293.00298	 0.00002	5	-0.00116	  4292.90774	3.8846E-24	   679.28700	  4972.19470	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	7	1	6	2	66	0	0	0	0	0	0	0	1	8	3	5	5	2
4247	  4293.00415	1.7291E-23	3	  4293.00440	 0.00002	3	 0.00025	  4292.72976	1.6453E-23	  1352.38040	  5645.11010	1200_00_aA2"<-0100	1	1	2	0	0	0	0	1	5	7	6	1	5	97	0	1	0	0	0	0	0	1	7	6	2	2	4
4248	  4293.00416	4.6425E-24	3	  4293.00387	 0.00009	3	-0.00029	  4293.00353	4.4309E-24	   478.14520	  4771.14880	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	9	8	3	3	111	0	0	0	0	0	0	1	5	8	8	3	6	1
4249	  4293.05840	2.8784E-24	3	  4293.05773	 0.00068	3	-0.00067	  4293.08150	2.2909E-24	  1429.90600	  5722.98750	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	13	10	3	6	175	0	0	0	0	0	0	0	1	13	10	3	3	3
4250	  4293.10908	1.0278E-21	1	  4293.10914	 0.00002	3	 0.00006	  4293.09168	1.0771E-21	   791.48480	  5084.57650	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	9	8	3	5	65	0	0	0	0	0	0	1	5	10	9	4	2	1
4251	  4293.23951	2.8613E-22	1	  4293.23954	 0.00001	3	 0.00003	  4293.23205	3.0060E-22	    56.70930	  4349.94130	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	2	1	6	6	36	0	0	0	0	0	0	1	5	2	1	6	3	2
4252	  4293.23952	3.3842E-23	1	  4293.24004	 0.00021	6	 0.00052	  4293.13868	3.5627E-23	   654.44860	  4947.58730	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	7	2	3	3	119	0	0	0	0	0	0	1	5	8	4	3	6	4
4253	  4293.23953	1.3023E-23	1	  4293.23953	          	1	 0.00000	  4293.09136	1.3723E-23	  1540.63270	  5833.72400	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	15	15	4	2	93	0	0	0	0	0	0	0	1	15	15	5	5	1
4254	  4293.31833	6.1363E-23	1	  4293.31853	 0.00025	5	 0.00020	  4293.16942	6.2501E-23	   199.29450	  4492.46390	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	5	1	6	2	42	0	0	0	0	0	0	1	5	4	0	1	5	2
4255	  4293.36924	9.6577E-24	3	  4293.36935	 0.00008	4	 0.00011	  4293.37826	8.0946E-24	  1243.76280	  5537.14100	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	12	9	4	2	80	0	0	0	0	0	0	0	1	12	9	5	5	2
4256	  4293.39862	2.2553E-24	3	  4293.39872	 0.00027	2	 0.00010	  4293.39900	1.4406E-24	  1648.60660	  5942.00560	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	15	14	3	6	185	0	0	0	0	0	0	0	1	15	14	3	3	1
4257	  4293.49640	6.5667E-22	1	  4293.49639	 0.00001	2	-0.00001	  4293.49421	6.6414E-22	    16.96330	  4310.45750	1100_00_sA1'<-0000	1	1	1	0	0	0	0	0	1	1	1	6	6	22	0	0	0	0	0	0	1	5	1	1	6	3	1
4258	  4293.55119	7.7001E-25	3	  4293.55493	 0.00097	6	 0.00374	  4293.44183	8.7156E-25	   831.45500	  5124.89690	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	9	1	6	3	140	0	0	0	0	0	0	1	5	9	4	3	6	4
4259	  4293.55120	1.5100E-24	3	  4293.54810	 0.00150	2	-0.00310	  4293.39424	1.7056E-24	   859.99890	  5153.39320	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	11	9	5	3	138	0	0	0	0	0	0	0	1	11	11	6	6	1
4260	  4293.66709	3.1616E-24	3	  4293.66707	 0.00011	6	-0.00002	  4293.62944	2.6410E-24	   413.23810	  4706.86750	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	5	1	6	6	87	0	0	0	0	0	0	1	5	6	1	6	3	4
4261	  4293.85210	1.1454E-23	3	  4293.85268	 0.00059	3	 0.00058	  4293.71728	1.0239E-23	   711.54510	  5005.26230	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	10	8	3	6	128	0	0	0	0	0	0	1	5	9	7	6	3	2
4262	  4293.92122	4.7310E-24	3	  4293.92134	 0.00000	3	 0.00012	  4293.66249	4.7508E-24	  1117.62640	  5411.28890	1200_00_aA2"<-0100	1	1	2	0	0	0	0	1	5	4	2	3	6	124	0	1	0	0	0	0	0	1	4	2	3	3	5
4263	  4293.95649	8.7806E-24	3	  4293.95651	 0.00010	8	 0.00002	  4293.88149	7.7897E-24	   416.88810	  4710.76960	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	7	3	4	2	55	0	0	0	0	0	0	1	5	6	0	1	5	3
4264	  4293.98315	6.2501E-24	3	  4293.98378	 0.00015	3	 0.00063	  4293.75655	3.9417E-24	  1170.58270	  5464.33930	0202_00_aA2"<-0100	1	0	2	0	2	0	0	1	5	6	4	3	6	164	0	1	0	0	0	0	0	1	5	4	3	3	5
4265	  4294.09114	1.0808E-23	3	  4294.09128	 0.00002	3	 0.00014	  4293.82304	1.0486E-23	  1255.43020	  5549.25330	1200_00_aA2"<-0100	1	1	2	0	0	0	0	1	5	6	5	6	3	177	0	1	0	0	0	0	0	1	6	5	6	6	5
4266	  4294.10566	4.8080E-24	3	  4294.10566	          	1	 0.00000	  4294.14141	5.4562E-24	  1514.75670	  5808.89810	0011_11_aA1"<-0100	1	0	0	1	1	1	1	1	4	10	9	5	2	97	0	1	0	0	0	0	0	1	9	9	5	5	4
4267	  4294.10567	2.3196E-25	3	  4294.10520	 0.00020	5	-0.00047	  4294.04843	2.6324E-25	   885.36650	  5179.41500	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	9	2	3	6	144	0	0	0	0	0	0	1	5	9	1	6	3	6
4268	  4294.16128	8.2239E-24	3	  4294.16114	 0.00048	2	-0.00014	  4294.08852	4.2703E-24	  1198.21550	  5492.30400	0202_00_aA2"<-0100	1	0	2	0	2	0	0	1	5	6	3	4	2	81	0	1	0	0	0	0	0	1	5	3	5	5	2
4269	  4294.16129	9.8613E-25	3	  4294.16167	 0.00041	2	 0.00038	  4294.13684	5.1205E-25	  1170.58270	  5464.71960	0011_11_sA2'<-0100	1	0	0	1	1	1	1	0	2	6	1	6	6	165	0	1	0	0	0	0	0	1	5	4	3	3	5
4270	  4294.24135	1.9959E-21	1	  4294.24141	 0.00008	6	 0.00006	  4294.20162	2.0929E-21	   580.77780	  4874.97940	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	7	5	6	5	53	0	0	0	0	0	0	0	1	8	6	2	2	1
4271	  4294.24136	4.0572E-24	1	  4294.23828	 0.00051	3	-0.00308	  4294.22599	4.2543E-24	  1353.56420	  5647.79020	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	13	11	6	3	170	0	0	0	0	0	0	0	1	13	11	6	6	2
168	  4294.31432	6.7187E-24	3										2																										
4272	  4294.43726	2.6462E-24	3	  4294.43770	 0.00009	4	 0.00044	  4294.25144	2.3739E-24	   655.64360	  4949.89510	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	9	5	6	6	123	0	0	0	0	0	0	0	1	9	8	3	3	1
4273	  4294.43727	1.4738E-24	3	  4294.43727	          	1	-0.00000	  4294.46293	1.3156E-24	  1582.47650	  5876.93950	0011_11_aA1"<-0100	1	0	0	1	1	1	1	1	4	10	8	3	6	214	0	1	0	0	0	0	0	1	9	8	3	3	7
4274	  4294.45932	4.8760E-23	3	  4294.45931	 0.00003	2	-0.00001	  4294.44296	4.2669E-23	   496.67510	  4791.11810	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	8	4	3	3	111	0	0	0	0	0	0	1	5	7	4	3	6	3
4275	  4294.47763	3.7826E-24	3	  4294.47745	 0.00002	5	-0.00018	  4294.32143	2.5911E-24	   283.61690	  4577.93830	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	6	0	1	3	88	0	0	0	0	0	0	1	5	5	2	3	6	3
4276	  4294.57057	1.4140E-24	3																																				
4277	  4294.75605	3.1784E-24	3	  4294.75617	 0.00003	3	 0.00012	  4294.69632	2.9196E-24	  1269.07110	  5563.76740	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	13	12	1	5	79	0	0	0	0	0	0	0	1	13	12	2	2	1
4278	  4294.79908	9.3954E-24	3	  4294.79902	 0.00006	3	-0.00006	  4294.68577	9.5357E-24	  1452.81250	  5747.49830	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	14	13	6	3	175	0	0	0	0	0	0	0	1	14	13	6	6	2
4279	  4294.87109	1.2482E-24	3																																				
4280	  4294.98505	1.1089E-23	3	  4294.98576	 0.00009	7	 0.00071	  4294.87644	1.0648E-23	   860.99630	  5155.87280	0102_00_sA1'<-0000	1	0	1	0	2	0	0	0	1	10	5	6	6	139	0	0	0	0	0	0	1	5	11	11	6	3	1
4281	  4295.03087	3.2602E-24	3	  4295.03080	 0.00007	6	-0.00007	  4294.93021	1.9190E-24	   104.42210	  4399.35230	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	4	0	1	6	63	0	0	0	0	0	0	0	1	3	2	3	3	1
4282	  4295.08098	2.5986E-23	3	  4295.08089	 0.00006	2	-0.00009	  4295.08724	2.4176E-23	   593.49960	  4888.58680	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	9	8	3	5	58	0	0	0	0	0	0	1	5	9	9	4	2	1
4283	  4295.14237	1.9322E-24	3	  4295.13719	 0.00001	4	-0.00518	  4295.12660	6.9319E-25	   284.40750	  4579.53410	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	5	3	4	2	43	0	0	0	0	0	0	1	5	6	6	1	5	1
4284	  4295.25308	1.2717E-23	3	  4295.25306	 0.00003	2	-0.00002	  4294.99048	1.1947E-23	  1170.58270	  5465.57320	1200_00_aA2"<-0100	1	1	2	0	0	0	0	1	5	5	4	3	6	153	0	1	0	0	0	0	0	1	5	4	3	3	5
4285	  4295.37335	2.6472E-22	1	  4295.37336	 0.00002	3	 0.00001	  4295.34947	2.7582E-22	   282.93760	  4578.28710	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	4	3	5	6	68	0	0	0	0	0	0	0	1	5	2	3	3	3
4286	  4295.52207	5.2495E-23	3	  4295.52257	 0.00051	6	 0.00050	  4295.53651	4.4950E-23	   238.65180	  4534.18830	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	6	4	3	6	83	0	0	0	0	0	0	0	1	5	4	3	3	2
4287	  4295.66023	9.0093E-24	3	  4295.66052	 0.00033	4	 0.00029	  4295.65228	8.9922E-24	  1174.60520	  5470.25750	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	12	10	3	6	158	0	0	0	0	0	0	0	1	12	10	3	3	2
4288	  4295.74831	6.5627E-24	3	  4295.74797	 0.00014	6	-0.00034	  4295.65894	6.8405E-24	   105.18360	  4400.84260	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	4	1	6	3	63	0	0	0	0	0	0	1	5	3	2	3	6	1
4289	  4295.81135	5.7346E-23	1	  4295.81135	          	1	 0.00000	  4295.69765	5.9355E-23	  1338.66260	  5634.36020	0210_10_aE"<-0100	1	0	2	1	0	1	0	1	6	6	6	2	6	180	0	1	0	0	0	0	1	5	7	7	6	3	6
4290	  4295.84630	2.3476E-24	3	  4295.84872	 0.00040	3	 0.00242	  4295.93655	2.6445E-24	  1070.37270	  5366.30930	0102_02_aE"<-0000	1	0	1	0	2	0	2	1	6	11	7	6	3	154	0	0	0	0	0	0	1	5	11	8	3	6	3
4291	  4295.88135	1.3867E-24	3																																				
4292	  4295.95946	2.5804E-25	3																																				
4293	  4296.04438	7.8041E-25	3																																				
4294	  4296.06520	6.7342E-25	3	  4296.06434	 0.00020	2	-0.00086	  4295.87382	6.8735E-25	  1897.58780	  6193.46160	0210_10_aE"<-0100	1	0	2	1	0	1	0	1	6	11	11	6	3	267	0	1	0	0	0	0	1	5	11	10	3	6	10
169	  4296.21818	9.0415E-24	3										2																										
4295	  4296.23306	1.9028E-24	3	  4296.23306	 0.00000	3	 0.00000	  4295.97879	2.1374E-24	  1049.15790	  5345.13660	1200_00_aA2"<-0100	1	1	2	0	0	0	0	1	5	3	1	6	3	95	0	1	0	0	0	0	0	1	3	1	6	6	3
4296	  4296.24613	9.5034E-25	3	  4296.24604	 0.00032	5	-0.00009	  4296.05861	1.1906E-24	  1358.86370	  5654.92230	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	12	7	6	3	176	0	0	0	0	0	0	0	1	12	7	6	6	4
4297	  4296.31120	1.5882E-23	3	  4296.31121	 0.00005	2	 0.00001	  4296.18195	1.6345E-23	  1352.37710	  5648.55910	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	14	14	3	6	168	0	0	0	0	0	0	0	1	14	14	3	3	1
4298	  4296.31121	1.2179E-24	3	  4296.31358	 0.00002	4	 0.00237	  4296.28964	1.2486E-24	   478.14520	  4774.43490	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	7	5	6	3	107	0	0	0	0	0	0	1	5	8	8	3	6	1
4299	  4296.41627	5.3122E-24	3	  4296.41627	          	1	 0.00000	  4296.31582	7.6871E-24	  1211.73070	  5508.04660	0401_01_sE'<-0100	1	0	4	0	1	0	1	0	3	7	7	6	5	82	0	1	0	0	0	0	0	1	6	6	2	2	3
4300	  4296.48574	2.4478E-23	3	  4296.48569	 0.00005	3	-0.00005	  4296.22794	2.3407E-23	  1097.85930	  5394.08720	1200_00_aA2"<-0100	1	1	2	0	0	0	0	1	5	4	3	4	2	57	0	1	0	0	0	0	0	1	4	3	5	5	3
4301	  4296.54101	8.3756E-24	3	  4296.54074	 0.00064	2	-0.00027	  4296.43963	7.4931E-24	  1641.64680	  5938.08640	0310_10_sE'<-0200	1	0	3	1	0	1	0	0	3	3	3	5	6	117	0	2	0	0	0	0	0	1	2	2	3	3	5
4302	  4296.62068	4.7100E-24	3	  4296.62286	 0.00002	4	 0.00218	  4296.58813	6.0201E-24	   593.49960	  4890.08770	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	8	6	1	5	62	0	0	0	0	0	0	1	5	9	9	4	2	1
4303	  4296.65247	6.0256E-22	1	  4296.65250	 0.00003	3	 0.00003	  4296.63080	6.3166E-22	   711.54510	  5008.17590	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	8	6	1	6	129	0	0	0	0	0	0	1	5	9	7	6	3	2
4304	  4296.67263	3.8875E-24	3	  4296.67359	 0.00020	7	 0.00096	  4296.53864	3.2624E-24	   282.93760	  4579.47630	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	6	1	6	6	87	0	0	0	0	0	0	0	1	5	2	3	3	3
4305	  4296.71062	6.3122E-24	3	  4296.70901	 0.00082	5	-0.00161	  4296.62064	6.8395E-24	  1124.03090	  5420.65150	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	11	7	6	3	158	0	0	0	0	0	0	0	1	11	7	6	6	4
4306	  4296.71063	1.8088E-23	3	  4296.71219	 0.00003	4	 0.00156	  4296.65710	1.9590E-23	   721.13010	  5017.78720	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	9	7	6	3	128	0	0	0	0	0	0	1	5	10	10	3	6	1
170	  4296.78996	9.8209E-24	3										2																										
4307	  4296.87934	1.9783E-24	3	  4296.87940	 0.00005	7	 0.00006	  4296.84615	1.5651E-24	   294.63050	  4591.47670	0102_00_aA2"<-0000	1	0	1	0	2	0	0	1	5	6	2	3	6	88	0	0	0	0	0	0	1	5	5	1	6	3	4
4308	  4297.01415	2.7613E-21	1	  4297.01462	 0.00047	3	 0.00047	  4296.99314	2.9045E-21	   592.58330	  4889.57640	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	8	8	3	2	56	0	0	0	0	0	0	0	1	9	9	5	5	1
4309	  4297.01416	6.6087E-24	1	  4296.99620	 0.00020	5	-0.01796	  4296.76296	6.9514E-24	   539.84500	  4836.60800	0102_02_sE'<-0000	1	0	1	0	2	0	2	0	3	8	3	4	6	113	0	0	0	0	0	0	0	1	7	2	3	3	4
4310	  4297.24748	2.1442E-24	3	  4297.24667	 0.00064	2	-0.00081	  4297.26475	1.3665E-24	  1909.08210	  6206.34690	0111_11_sE'<-0001	1	0	1	1	1	1	1	0	3	4	1	6	5	90	0	0	0	1	0	1	0	3	5	2	3	2	8
171	  4297.25310	5.8484E-25	3										2																										
4311	  4297.31984	5.4201E-23	3	  4297.31983	 0.00002	2	-0.00001	  4297.20969	5.4090E-23	  1289.85860	  5587.06830	0210_10_aE"<-0100	1	0	2	1	0	1	0	1	6	5	4	3	6	156	0	1	0	0	0	0	1	5	6	5	6	3	5
4312	  4297.44382	7.4302E-22	1	  4297.44370	 0.00026	6	-0.00012	  4297.40471	7.7127E-22	   412.62500	  4710.02980	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	5	0	2	3	87	0	0	0	0	0	0	0	1	6	1	6	6	4
4313	  4297.55065	9.3199E-24	3	  4297.55184	 0.00018	3	 0.00119	  4297.35827	1.3476E-23	  1544.63490	  5841.99320	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	14	13	6	5	94	0	0	0	0	0	0	0	1	14	12	2	2	1
4314	  4297.56951	3.7951E-22	1	  4297.56954	 0.00002	5	 0.00003	  4297.54308	3.9673E-22	   413.23810	  4710.78120	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	5	2	3	6	88	0	0	0	0	0	0	1	5	6	1	6	3	4
