C.1	C.2       	C.3    	C.4       	C.5               	C.6	C.7	C.8	C.9	C.10	C.11	C.12	C.13	C.14	C.15	C.16	C.17	C.18	C.19	C.20	C.21	C.22	C.23	C.24	C.25	C.26	C.27	C.28	C.29	C.30	C.31	C.32
1	4598.52251	0.00059	8.1188E-25	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	11	2	3	2	100	0	0	0	0	0	0	1	5	10	0	1	5	4
1	4598.67491	     	4.8880E-25																												
1	4598.93157	0.00002	2.2994E-23	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	14	11	6	3	199	0	0	0	0	0	0	1	5	13	10	3	6	3
1	4599.02753	     	2.5174E-25																												
1	4599.14312	     	2.6434E-24																												
1	4599.26446	0.00016	5.9689E-23	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	10	0	1	3	175	0	0	0	0	0	0	0	1	9	1	6	6	6
1	4599.33706	0.00025	1.4853E-24	1100_00_aA2"<-0000	1	1	1	0	0	0	0	1	5	16	13	6	3	207	0	0	0	0	0	0	0	1	15	13	6	6	2
1	4599.35852	     	3.9440E-25																												
1	4599.50181	0.00003	1.7823E-22	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	9	2	3	2	82	0	0	0	0	0	0	0	1	8	3	5	5	2
1	4599.51818	     	1.4224E-24																												
1	4599.63717	     	3.4595E-24																												
1	4599.64392	0.00025	8.4485E-23	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	8	4	3	3	133	0	0	0	0	0	0	0	1	7	5	6	6	2
1	4599.65921	     	1.0049E-24																												
1	4599.73741	0.00001	4.2242E-23	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	11	2	3	3	189	0	0	0	0	0	0	0	1	10	1	6	6	7
1	4599.85022	0.00020	2.7529E-23	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	15	14	3	6	191	0	0	0	0	0	0	1	5	14	13	6	3	2
1	4599.85670	     	2.4986E-24																												
1	4599.92305	0.00006	2.4388E-23	0110_10_aE"<-0000	1	0	1	1	0	1	0	1	6	13	8	3	6	202	0	0	0	0	0	0	1	5	12	7	6	3	4
1	4600.05069	     	7.9719E-25																												
1	4600.12129	0.00033	2.2532E-24	0301_01_aE"<-0000	1	0	3	0	1	0	1	1	6	6	2	3	5	59	0	0	0	0	0	0	0	1	5	0	2	2	2
1	4600.34058	0.00003	4.2876E-23	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	12	4	3	2	99	0	0	0	0	0	0	0	1	11	3	5	5	3
1	4600.42421		1.8105E-24	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	18	17	6	6	206	0	0	0	0	0	0	0	1	17	16	3	3	2
1	4600.66348	0.00056	5.1506E-24	0110_10_sE'<-0000	1	0	1	1	0	1	0	0	3	15	11	6	6	214	0	0	0	0	0	0	0	1	14	10	3	3	4
1	4600.74869	     	5.2237E-25																												
1	4600.98312	     	4.4894E-25																												
1	4601.46724	     	8.3915E-25																												
1	4601.59493	     	5.6013E-25																												
