        nu  unc1  unc2  nu1'  nu2'  nu3'  nu4'  L3'  L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"         Source
9650.10891  0.01  0.01     2     0     0     2    0    2   3   0  s    E'  618     0     0     0     0    0    0   3   1  s    E"    2 17BaPoYuTe.231
9709.04319  0.01  0.01     2     0     0     2    0    2   3   0  a    E"  627     0     0     0     0    0    0   2   1  a    E'    2 17BaPoYuTe.349
9649.47541  0.01  0.01     2     0     0     2    0    2   3   0  a    E"  627     0     0     0     0    0    0   3   1  a    E'    2 17BaPoYuTe.346
9570.14261  0.01  0.01     2     0     0     2    0    2   3   0  a    E"  627     0     0     0     0    0    0   4   1  a    E'    3 17BaPoYuTe.343
9680.75500  0.01  0.01     2     0     0     2    0    2   4   4  a   A2"  409     0     0     0     0    0    0   3   3  a   A2'    1 17BaPoYuTe.361
9729.59111  0.01  0.01     2     0     1     0    1    0   3   3  s    E"  630     0     0     0     0    0    0   2   2  s    E'    1 17BaPoYuTe.458
9763.38469  0.01  0.01     1     0     1     2    1    2   2   2  s    E'  466     0     0     0     0    0    0   1   1  s    E"    1  17BaPoYuTe.10
9725.50423  0.01  0.01     1     0     1     2    1    2   2   1  a    E'  467     0     0     0     0    0    0   2   1  s    E"    2 17BaPoYuTe.109
9676.26301  0.01  0.01     1     0     1     2    1    2   2   1  a    E'  467     0     0     0     0    0    0   3   2  a    E"    1 17BaPoYuTe.107
9665.47595  0.01  0.01     1     0     1     2    1    2   2   0  a    E"  456     0     0     0     0    0    0   3   1  a    E'    2 17BaPoYuTe.111
9695.39604  0.01  0.01     1     0     1     2    1    2   2   2  a   A2"  246     0     0     0     0    0    0   3   3  a   A2'    1 17BaPoYuTe.108
9762.16839  0.01  0.01     1     0     1     2    1    2   2   2  a   A2"  246     0     0     0     0    0    0   1   0  s   A2'    1 17BaPoYuTe.110
9765.94438  0.01  0.01     1     0     1     2    1    2   2   2  a    E"  456     0     0     0     0    0    0   1   1  a    E'    1 17BaPoYuTe.112
9580.59957  0.01  0.01     2     0     0     2    0    2   4   4  s    E'  792     0     0     0     0    0    0   5   5  s    E"    1 17BaPoYuTe.239
9767.00067  0.01  0.01     1     0     1     2    1    2   2   1  s   A2"  249     0     0     0     0    0    0   1   0  s   A2'    1  17BaPoYuTe.11
9731.79521  0.01  0.01     1     0     1     2    1    2   2   0  s    E'  470     0     0     0     0    0    0   2   1  s    E"    2   17BaPoYuTe.8
9672.19823  0.01  0.01     1     0     1     2    1    2   2   0  s    E'  470     0     0     0     0    0    0   3   1  s    E"    2   17BaPoYuTe.6
9582.44807  0.01  0.01     2     0     0     2    0    2   4   4  a    E"  784     0     0     0     0    0    0   5   5  a    E'    1 17BaPoYuTe.360
9748.51784  0.01  0.01     1     0     1     2    1    2   2   1  s    E"  463     0     0     0     0    0    0   2   2  s    E'    1   17BaPoYuTe.9
9688.89207  0.01  0.01     1     0     1     2    1    2   2   1  s    E"  463     0     0     0     0    0    0   3   2  s    E'    1   17BaPoYuTe.7
9739.18258  0.01  0.01     2     0     1     0    1    0   3   2  s    E'  624     0     0     0     0    0    0   2   1  s    E"    2 17BaPoYuTe.457
9710.62339  0.01  0.01     2     0     1     0    1    0   3   2  s   A2'  335     0     0     0     0    0    0   3   3  s   A2"    1 17BaPoYuTe.460
9632.53868  0.01  0.01     2     0     1     0    1    0   3   2  a   A2"  301     0     0     0     0    0    0   4   3  a   A2'    1 17BaPoYuTe.552
9694.75914  0.01  0.01     2     0     0     2    0    2   4   3  s    E"  786     0     0     0     0    0    0   3   2  s    E'    1 17BaPoYuTe.238
9743.26016  0.01  0.01     2     0     1     0    1    0   3   2  a    E"  637     0     0     0     0    0    0   2   1  a    E'    2 17BaPoYuTe.549
9683.69159  0.01  0.01     2     0     1     0    1    0   3   2  a    E"  637     0     0     0     0    0    0   3   1  a    E'    2 17BaPoYuTe.547
