        nu  unc1  unc2  nu1'  nu2'  nu3'  nu4'  L3'  L4'  J'  K' i' Gtot'  Nb'  nu1"  nu2"  nu3"  nu4"  L3"  L4"  J"  K" i" Gtot"  Nb"           E'        Calc'  Obs-Calc'   ErrByte         Source Method  BandMatch
9570.14261  0.01  0.01     2     0     0     2    0    2   3   0  a    E"  627     0     0     0     0    0    0   4   1  a    E'    3  9765.753931  9765.669547   0.084384  0.389732 17BaPoYuTe.343     CD       True
9680.75500  0.01  0.01     2     0     0     2    0    2   4   4  a   A2"  409     0     0     0     0    0    0   3   3  a   A2'    1  9767.412803  9765.772781   1.640022  0.323044 17BaPoYuTe.361     Br       True
9729.59111  0.01  0.01     2     0     1     0    1    0   3   3  s    E"  630     0     0     0     0    0    0   2   2  s    E'    1  9774.387088  9774.755789  -0.368701  5.237231 17BaPoYuTe.458     Br       True
9763.38469  0.01  0.01     1     0     1     2    1    2   2   2  s    E'  466     0     0     0     0    0    0   1   1  s    E"    1  9779.557683  9777.401802   2.155881 -0.984902  17BaPoYuTe.10     Br      False
9725.50423  0.01  0.01     1     0     1     2    1    2   2   1  a    E'  467     0     0     0     0    0    0   2   1  s    E"    2  9781.442963  9782.636398  -1.193435 -2.133876 17BaPoYuTe.109     CD      False
9676.26301  0.01  0.01     1     0     1     2    1    2   2   1  a    E'  467     0     0     0     0    0    0   3   2  a    E"    1  9781.446765  9782.636398  -1.189633 -2.129091 17BaPoYuTe.107     CD      False
9665.47595  0.01  0.01     1     0     1     2    1    2   2   0  a    E"  456     0     0     0     0    0    0   3   1  a    E'    2  9781.754245  9781.572643   0.181602 -3.929181 17BaPoYuTe.111     Br      False
9695.39604  0.01  0.01     1     0     1     2    1    2   2   2  a   A2"  246     0     0     0     0    0    0   3   3  a   A2'    1  9782.053843  9782.301468  -0.247625 -3.988889 17BaPoYuTe.108     CD      False
9762.16839  0.01  0.01     1     0     1     2    1    2   2   2  a   A2"  246     0     0     0     0    0    0   1   0  s   A2'    1  9782.058276  9782.301468  -0.243192 -3.986721 17BaPoYuTe.110     CD      False
9765.94438  0.01  0.01     1     0     1     2    1    2   2   2  a    E"  457     0     0     0     0    0    0   1   1  a    E'    1  9782.907736  9781.572643   1.335093 -2.403958 17BaPoYuTe.112     Br      False
9580.59957  0.01  0.01     2     0     0     2    0    2   4   4  s    E'  792     0     0     0     0    0    0   5   5  s    E"    1  9785.868718  9785.646294   0.222424  5.161957 17BaPoYuTe.239     Br      False
9767.00067  0.01  0.01     1     0     1     2    1    2   2   1  s   A2"  249     0     0     0     0    0    0   1   0  s   A2'    1  9786.890556  9787.944017  -1.053461 -1.441482  17BaPoYuTe.11     Br      False
9731.79521  0.01  0.01     1     0     1     2    1    2   2   0  s    E'  470     0     0     0     0    0    0   2   1  s    E"    2  9787.733943  9787.635533   0.098410 -0.478731   17BaPoYuTe.8     CD      False
9672.19823  0.01  0.01     1     0     1     2    1    2   2   0  s    E'  470     0     0     0     0    0    0   3   1  s    E"    2  9787.734861  9787.635533   0.099328 -0.476987   17BaPoYuTe.6     CD      False
9582.44807  0.01  0.01     2     0     0     2    0    2   4   4  a    E"  784     0     0     0     0    0    0   5   5  a    E'    1  9788.535550  9788.614989  -0.079439  1.261480 17BaPoYuTe.360     Br       True
9748.51784  0.01  0.01     1     0     1     2    1    2   2   1  s    E"  463     0     0     0     0    0    0   2   2  s    E'    1  9793.313818  9793.538434  -0.224616 -1.073805   17BaPoYuTe.9     CD      False
9688.89207  0.01  0.01     1     0     1     2    1    2   2   1  s    E"  463     0     0     0     0    0    0   3   2  s    E'    1  9793.314158  9793.538434  -0.224276 -1.072701   17BaPoYuTe.7     CD      False
9739.18258  0.01  0.01     2     0     1     0    1    0   3   2  s    E'  624     0     0     0     0    0    0   2   1  s    E"    2  9795.121313  9794.959766   0.161547  4.790214 17BaPoYuTe.457     Br       True
9710.62339  0.01  0.01     2     0     1     0    1    0   3   2  s   A2'  335     0     0     0     0    0    0   3   3  s   A2"    1  9796.484971  9794.426541   2.058430  5.038582 17BaPoYuTe.460     Br       True
9632.53868  0.01  0.01     2     0     1     0    1    0   3   2  a   A2"  301     0     0     0     0    0    0   4   3  a   A2'    1  9798.626583  9800.031391  -1.404808  2.794556 17BaPoYuTe.552     Br      False
9694.75914  0.01  0.01     2     0     0     2    0    2   4   3  s    E"  786     0     0     0     0    0    0   3   2  s    E'    1  9799.181228  9799.127504   0.053724  4.391475 17BaPoYuTe.238     Br      False
9743.26016  0.01  0.01     2     0     1     0    1    0   3   2  a    E"  637     0     0     0     0    0    0   2   1  a    E'    2  9799.969387  9802.703527  -2.734140  3.806084 17BaPoYuTe.549     CD      False
9683.69159  0.01  0.01     2     0     1     0    1    0   3   2  a    E"  637     0     0     0     0    0    0   3   1  a    E'    2  9799.969885  9802.703527  -2.733642  3.807517 17BaPoYuTe.547     CD      False
9740.30577  0.01  0.01     1     0     1     2    1    2   2   1  a   A2'  215     0     0     0     0    0    0   2   0  a   A2"    1  9800.718788  9800.329198   0.389590 -2.993166 17BaPoYuTe.113     Br      False
9696.43274  0.01  0.01     2     0     0     2    0    2   4   3  a    E'  796     0     0     0     0    0    0   3   2  a    E"    1  9801.616495  9800.935081   0.681414  0.862808 17BaPoYuTe.362     Br      False
9642.11064  0.01  0.01     2     0     1     0    1    0   3   1  s   A2"  303     0     0     0     0    0    0   4   3  a   A2'    1  9808.198543  9808.053773   0.144770  4.756702 17BaPoYuTe.459     Br      False
9697.48013  0.01  0.01     2     0     1     0    1    0   3   0  s    E'  632     0     0     0     0    0    0   3   1  s    E"    2  9813.016761  9812.853147   0.163614  3.998738 17BaPoYuTe.455     CD      False
9757.07821  0.01  0.01     2     0     1     0    1    0   3   0  s    E'  632     0     0     0     0    0    0   2   1  s    E"    2  9813.016943  9812.853147   0.163796  3.998094 17BaPoYuTe.456     CD      False
9698.69343  0.01  0.01     2     0     1     0    1    0   3   1  a    E'  632     0     0     0     0    0    0   3   1  s    E"    2  9814.230061  9812.853147   1.376914  2.752002 17BaPoYuTe.548     CD      False
9758.29301  0.01  0.01     2     0     1     0    1    0   3   1  a    E'  632     0     0     0     0    0    0   2   1  s    E"    2  9814.231743  9812.853147   1.378596  2.752858 17BaPoYuTe.550     CD      False
9620.91112  0.01  0.01     2     0     1     0    1    0   3   0  a    E"  642     0     0     0     0    0    0   4   1  a    E'    3  9816.522441  9815.053980   1.468461  3.537547 17BaPoYuTe.551     Br       True
9736.94189  0.01  0.01     1     0     1     2    1    2   3   2  s   A2'  340     0     0     0     0    0    0   3   3  s   A2"    1  9822.803471  9818.752070   4.051401  0.033515  17BaPoYuTe.15     CD      False
9657.47468  0.01  0.01     1     0     1     2    1    2   3   2  s   A2'  340     0     0     0     0    0    0   4   3  s   A2"    1  9822.805782  9818.752070   4.053712  0.036876  17BaPoYuTe.12     CD      False
9530.89816  0.01  0.01     2     0     0     2    0    2   4   2  s    E'  804     0     0     0     0    0    0   5   1  s    E"    4  9824.866480  9824.796968   0.069512  4.904220 17BaPoYuTe.243     CD       True
9709.33239  0.01  0.01     2     0     0     2    0    2   4   2  s    E'  804     0     0     0     0    0    0   3   1  s    E"    2  9824.869021  9824.796968   0.072053  4.903687 17BaPoYuTe.244     CD       True
9685.71578  0.01  0.01     2     0     0     2    0    2   5   5  s    E"  955     0     0     0     0    0    0   4   4  s    E'    1  9825.073829  9826.375008  -1.301179  3.953170 17BaPoYuTe.249     Br      False
9709.01789  0.01  0.01     2     0     0     2    0    2   4   2  a    E"  797     0     0     0     0    0    0   3   1  a    E'    2  9825.296185  9826.719333  -1.423148  0.330235 17BaPoYuTe.359     Br      False
9640.89705  0.01  0.01     1     0     1     2    1    2   3   3  a    E'  637     0     0     0     0    0    0   4   2  a    E"    2  9825.450107  9825.790702  -0.340595 -2.979953 17BaPoYuTe.114     CD      False
9720.26885  0.01  0.01     1     0     1     2    1    2   3   3  a    E'  637     0     0     0     0    0    0   3   2  a    E"    1  9825.452605  9825.790702  -0.338097 -2.978774 17BaPoYuTe.122     CD      False
9779.86553  0.01  0.01     1     0     1     2    1    2   3   3  a    E'  637     0     0     0     0    0    0   2   2  a    E"    1  9825.452810  9825.790702  -0.337892 -2.979448 17BaPoYuTe.128     CD      False
9660.20277  0.01  0.01     2     0     1     0    1    0   4   4  s   A2'  382     0     0     0     0    0    0   4   3  s   A2"    1  9825.533872  9826.793834  -1.259962  5.227649 17BaPoYuTe.471     Br       True
9741.17597  0.01  0.01     2     0     1     0    1    0   4   4  a   A2"  415     0     0     0     0    0    0   3   3  a   A2'    1  9827.833773  9827.015213   0.818560  2.316322 17BaPoYuTe.562     Br       True
